CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
18:36:0,4.995,0.0,0.0,0.0,4.998,0.0,0.0,0.0
18:36:4,4.995,0.0,0.0,0.0,4.997,0.0,0.0,0.0
18:36:8,4.994,0.0,0.0,0.0,4.997,0.0,0.0,0.0
18:36:12,4.995,0.0,0.0,0.0,4.998,0.0,0.0,0.0
18:36:16,4.994,0.0,0.0,0.0,4.998,0.0,0.0,0.0
18:36:20,4.994,0.0,0.0,0.0,4.998,0.0,0.0,0.0
18:36:24,4.995,0.0,0.0,0.0,4.997,0.0,0.0,0.0
18:36:28,4.995,0.0,0.0,0.0,4.998,0.0,0.0,0.0
18:36:32,4.995,0.0,0.0,0.0,4.998,0.0,0.0,0.0
18:36:36,4.995,0.0,0.0,0.0,4.998,0.001,0.001,0.001
18:36:40,4.994,0.0,0.0,0.0,4.998,0.001,0.001,0.001
18:36:44,4.995,0.0,0.0,0.0,4.998,0.001,0.001,0.001
18:36:48,4.994,0.0,0.0,0.0,4.998,0.002,0.002,0.002
18:36:53,4.995,0.0,0.0,0.0,4.998,0.002,0.002,0.002
18:36:57,4.995,0.0,0.0,0.0,4.998,0.002,0.002,0.002
18:37:1,4.995,0.0,0.0,0.0,4.997,0.0022,0.002,0.003
18:37:5,4.995,0.0,0.0,0.0,4.997,0.003,0.003,0.003
18:37:9,4.995,0.0,0.0,0.0,4.998,0.003,0.003,0.003
18:37:13,4.994,0.0,0.0,0.0,4.998,0.004,0.004,0.004
18:37:17,4.995,0.0,0.0,0.0,4.998,0.004,0.004,0.004
18:37:21,4.994,0.0,0.0,0.0,4.998,0.004,0.004,0.004
18:37:25,4.994,0.0,0.0,0.0,4.997,0.004200000000000001,0.004,0.005
18:37:29,4.994,0.0,0.0,0.0,4.999,0.0044,0.004,0.005
18:37:33,4.996,0.0,0.0,0.0,4.999,0.004200000000000001,0.004,0.005
18:37:37,4.994,0.0,0.0,0.0,4.997,0.004200000000000001,0.004,0.005
18:37:41,4.995,0.0,0.0,0.0,4.997,0.004,0.004,0.004
18:37:46,4.995,0.0,0.0,0.0,4.997,0.004200000000000001,0.004,0.005
18:37:50,4.994,0.0,0.0,0.0,4.998,0.004600000000000001,0.004,0.005
18:37:54,4.995,0.0,0.0,0.0,4.997,0.004200000000000001,0.004,0.005
18:37:58,4.995,0.0,0.0,0.0,4.997,0.004200000000000001,0.004,0.005
18:38:2,4.995,0.0,0.0,0.0,4.997,0.0044,0.004,0.005
18:38:6,4.994,0.0,0.0,0.0,4.998,0.0044,0.004,0.005
18:38:10,4.995,0.0,0.0,0.0,4.998,0.0048000000000000004,0.004,0.005
18:38:14,
