CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
15:42:23,0.0,0.771,0.286,2.122
15:42:24,33.923,0.27880000000000005,0.278,0.281
15:42:25,33.988,0.278,0.278,0.278
15:42:26,33.988,0.278,0.278,0.278
15:42:27,33.989,0.278,0.278,0.278
15:42:28,33.989,0.278,0.278,0.278
15:42:29,33.989,0.278,0.278,0.278
15:42:30,33.989,0.278,0.278,0.278
15:42:31,33.989,0.278,0.278,0.278
15:42:32,33.988,0.278,0.278,0.278
15:42:33,33.99,0.278,0.278,0.278
15:42:34,33.99,0.278,0.278,0.278
15:42:35,33.99,0.2782,0.278,0.279
15:42:36,
