CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
15:50:42,33.999,0.403,0.403,0.403
15:50:43,33.997,0.403,0.403,0.403
15:50:44,33.997,0.403,0.403,0.403
15:50:45,33.997,0.403,0.403,0.403
15:50:46,33.997,0.403,0.403,0.403
15:50:47,33.997,0.403,0.403,0.403
15:50:48,33.997,0.40280000000000005,0.402,0.403
15:50:49,33.996,0.40280000000000005,0.402,0.403
15:50:50,33.996,0.402,0.402,0.402
15:50:51,33.995,0.4022,0.402,0.403
15:50:52,33.996,0.4022,0.402,0.403
15:50:53,33.998,0.402,0.402,0.402
15:50:54,33.998,0.402,0.402,0.402
15:50:55,33.997,0.402,0.402,0.402
15:50:56,33.997,0.402,0.402,0.402
15:50:57,33.998,0.402,0.402,0.402
15:50:59,33.998,0.402,0.402,0.402
15:51:0,33.998,0.402,0.402,0.402
15:51:1,33.997,0.402,0.402,0.402
15:51:2,33.997,0.4016,0.401,0.402
15:51:3,33.996,0.402,0.402,0.402
15:51:4,33.996,0.402,0.402,0.402
15:51:5,33.998,0.40140000000000003,0.401,0.402
15:51:6,33.997,0.40099999999999997,0.401,0.401
15:51:7,33.997,0.40099999999999997,0.401,0.401
15:51:8,33.997,0.40099999999999997,0.401,0.401
15:51:9,33.996,0.40099999999999997,0.401,0.401
15:51:10,33.997,0.40099999999999997,0.401,0.401
15:51:11,
