CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
15:39:45,0.0,0.274,0.263,0.304
15:39:46,33.938,0.26260000000000006,0.262,0.263
15:39:47,33.989,0.26280000000000003,0.262,0.263
15:39:48,33.989,0.26239999999999997,0.262,0.263
15:39:49,33.989,0.26260000000000006,0.262,0.263
15:39:50,33.989,0.26280000000000003,0.262,0.263
15:39:51,33.99,0.2624,0.262,0.263
15:39:52,33.99,0.262,0.262,0.262
15:39:53,33.991,0.262,0.262,0.262
15:39:54,33.99,0.262,0.262,0.262
15:39:55,33.99,0.262,0.262,0.262
15:39:56,33.989,0.262,0.262,0.262
15:39:57,33.99,0.262,0.262,0.262
15:39:58,33.99,0.262,0.262,0.262
15:39:59,33.989,0.262,0.262,0.262
15:40:0,33.988,0.262,0.262,0.262
15:40:1,33.988,0.262,0.262,0.262
15:40:2,33.987,0.262,0.262,0.262
15:40:3,33.988,0.262,0.262,0.262
15:40:4,33.989,0.262,0.262,0.262
15:40:5,33.988,0.262,0.262,0.262
15:40:6,33.988,0.262,0.262,0.262
15:40:7,33.987,0.262,0.262,0.262
15:40:8,33.987,0.262,0.262,0.262
15:40:9,33.987,0.262,0.262,0.262
15:40:10,33.986,0.262,0.262,0.262
15:40:11,33.987,0.262,0.262,0.262
15:40:12,33.986,0.262,0.262,0.262
15:40:13,33.986,0.26260000000000006,0.262,0.263
15:40:14,33.986,0.263,0.263,0.263
15:40:15,33.987,0.263,0.263,0.263
15:40:16,33.988,0.263,0.263,0.263
15:40:17,33.988,0.263,0.263,0.263
15:40:18,33.987,0.263,0.263,0.263
15:40:19,33.987,0.263,0.263,0.263
15:40:20,33.987,0.263,0.263,0.263
15:40:21,33.986,0.2632,0.263,0.264
15:40:22,33.986,0.2634,0.263,0.264
15:40:23,33.986,0.2634,0.263,0.264
15:40:24,33.986,0.264,0.264,0.264
15:40:25,33.986,0.264,0.264,0.264
15:40:26,33.986,0.264,0.264,0.264
15:40:27,33.984,0.264,0.264,0.264
15:40:28,33.986,0.264,0.264,0.264
15:40:29,33.986,0.264,0.264,0.264
15:40:30,33.985,0.264,0.264,0.264
15:40:31,33.984,0.264,0.264,0.264
15:40:32,33.984,0.2642,0.264,0.265
15:40:33,33.984,0.26460000000000006,0.264,0.265
15:40:34,33.985,0.26480000000000004,0.264,0.265
15:40:35,33.984,0.265,0.265,0.265
15:40:36,33.985,0.265,0.265,0.265
15:40:37,33.984,0.265,0.265,0.265
15:40:38,33.985,0.265,0.265,0.265
15:40:39,33.984,0.265,0.265,0.265
15:40:40,33.985,0.266,0.266,0.266
15:40:41,33.984,0.2662,0.266,0.267
15:40:42,33.984,0.267,0.267,0.267
15:40:44,33.986,0.26739999999999997,0.267,0.268
15:40:45,33.985,0.268,0.268,0.268
15:40:46,33.986,0.269,0.269,0.269
15:40:47,33.985,0.2692,0.269,0.27
15:40:48,33.985,0.2702,0.27,0.271
15:40:49,33.985,0.271,0.271,0.271
15:40:50,33.983,0.2716,0.271,0.272
15:40:51,33.984,0.272,0.272,0.272
15:40:52,33.984,0.27280000000000004,0.272,0.273
15:40:53,33.985,0.2736,0.273,0.274
15:40:54,33.984,0.274,0.274,0.274
15:40:55,33.984,0.27480000000000004,0.274,0.275
15:40:56,33.984,0.27580000000000005,0.275,0.276
15:40:57,33.984,0.276,0.276,0.276
15:40:58,33.984,0.277,0.277,0.277
15:40:59,33.984,0.2774,0.277,0.278
15:41:0,33.983,0.278,0.278,0.278
15:41:1,33.983,0.27860000000000007,0.278,0.279
15:41:2,33.983,0.279,0.279,0.279
15:41:3,33.983,0.28,0.28,0.28
15:41:4,33.982,0.28020000000000006,0.28,0.281
15:41:5,33.982,0.281,0.281,0.281
15:41:6,33.984,0.2816,0.281,0.282
15:41:7,33.983,0.282,0.282,0.282
15:41:8,33.983,0.28259999999999996,0.282,0.283
15:41:9,33.983,0.283,0.283,0.283
15:41:10,33.983,0.2838,0.283,0.284
15:41:11,33.984,0.284,0.284,0.284
15:41:12,33.984,0.28359999999999996,0.283,0.284
15:41:13,33.984,0.28319999999999995,0.283,0.284
15:41:14,33.984,0.283,0.283,0.283
15:41:15,33.984,0.283,0.283,0.283
15:41:16,33.984,0.283,0.283,0.283
15:41:17,33.984,0.283,0.283,0.283
15:41:18,33.983,0.283,0.283,0.283
15:41:19,33.984,0.283,0.283,0.283
15:41:20,33.984,0.283,0.283,0.283
15:41:21,33.984,0.283,0.283,0.283
15:41:22,33.982,0.283,0.283,0.283
15:41:23,33.983,0.283,0.283,0.283
15:41:24,33.983,0.283,0.283,0.283
15:41:25,33.983,0.283,0.283,0.283
15:41:26,33.982,0.283,0.283,0.283
15:41:27,33.982,0.283,0.283,0.283
15:41:28,33.983,0.283,0.283,0.283
15:41:29,33.983,0.283,0.283,0.283
15:41:30,33.983,0.283,0.283,0.283
15:41:31,33.981,0.283,0.283,0.283
15:41:32,33.982,0.2828,0.282,0.283
15:41:33,33.983,0.28259999999999996,0.282,0.283
15:41:34,33.982,0.28259999999999996,0.282,0.283
15:41:35,33.983,0.28279999999999994,0.282,0.283
15:41:36,33.983,0.2824,0.282,0.283
15:41:37,33.983,0.282,0.282,0.282
15:41:38,33.984,0.28279999999999994,0.282,0.283
15:41:39,33.984,0.282,0.282,0.282
