CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
21:17:27,33.997,0.5524,0.552,0.553,33.996,0.5524,0.552,0.553,4.996,0.0,0.0,0.0
21:17:43,33.997,0.5526,0.552,0.553,33.997,0.553,0.552,0.554,4.997,0.0,0.0,0.0
21:17:59,33.995,0.553,0.553,0.553,33.996,0.5528000000000001,0.552,0.553,4.996,0.0,0.0,0.0
21:18:16,33.995,0.552,0.552,0.552,33.995,0.5524,0.552,0.553,4.997,0.0,0.0,0.0
21:18:32,33.996,0.5528,0.552,0.553,33.995,0.5524,0.552,0.553,4.996,0.0,0.0,0.0
21:18:48,33.996,0.5524,0.552,0.553,33.996,0.5528000000000001,0.552,0.553,4.996,0.0,0.0,0.0
21:19:4,33.996,0.5518000000000001,0.551,0.552,33.996,0.5524,0.552,0.553,4.997,0.0,0.0,0.0
21:19:21,33.999,0.5524,0.551,0.553,33.999,0.5524,0.552,0.553,4.996,0.0,0.0,0.0
21:19:37,33.999,0.5522,0.552,0.553,33.999,0.5526000000000001,0.552,0.554,4.996,0.0,0.0,0.0
21:19:53,33.998,0.5522,0.552,0.553,33.999,0.5524,0.552,0.553,4.996,0.0,0.0,0.0
21:20:9,33.998,0.5524,0.552,0.553,33.999,0.553,0.553,0.553,4.997,0.0,0.0,0.0
21:20:26,33.999,0.5526,0.552,0.554,33.999,0.5526,0.552,0.553,4.996,0.0,0.0,0.0
21:20:42,33.998,0.5524,0.552,0.553,33.999,0.5522,0.552,0.553,4.995,0.0,0.0,0.0
21:20:58,33.999,0.5524,0.552,0.553,33.997,0.5526,0.552,0.553,4.995,0.0,0.0,0.0
21:21:14,33.997,0.553,0.553,0.553,33.997,0.5524,0.552,0.553,4.996,0.0,0.0,0.0
21:21:30,33.998,0.552,0.551,0.553,33.997,0.5522,0.551,0.553,4.996,0.0,0.0,0.0
21:21:47,33.998,0.5528000000000001,0.552,0.553,33.997,0.5528,0.552,0.553,4.996,0.0,0.0,0.0
21:22:3,33.997,0.552,0.551,0.553,33.998,0.5522,0.552,0.553,4.996,0.0,0.0,0.0
21:22:19,33.997,0.5528,0.552,0.554,33.998,0.5524,0.552,0.553,4.997,0.0,0.0,0.0
21:22:35,33.998,0.5522,0.551,0.553,33.998,0.5528000000000001,0.552,0.553,4.996,0.0,0.0,0.0
21:22:52,33.998,0.553,0.553,0.553,33.998,0.5526,0.552,0.553,4.996,0.0,0.0,0.0
21:23:8,33.998,0.5526000000000001,0.551,0.553,33.998,0.5522,0.551,0.553,4.997,0.0,0.0,0.0
21:23:24,33.997,0.5524,0.552,0.553,33.997,0.5516000000000001,0.551,0.552,4.997,0.0,0.0,0.0
21:23:40,33.997,0.5526,0.552,0.553,33.998,0.5528,0.552,0.553,4.996,0.0,0.0,0.0
21:23:57,33.997,0.5528000000000001,0.552,0.553,33.997,0.5524,0.552,0.553,4.997,0.0,0.0,0.0
21:24:13,33.997,0.5522,0.551,0.553,33.997,0.553,0.553,0.553,4.996,0.0,0.0,0.0
21:24:29,33.998,0.5532,0.553,0.554,33.997,0.5528000000000001,0.552,0.553,4.997,0.0,0.0,0.0
21:24:45,33.997,0.5524,0.552,0.553,33.998,0.5524,0.552,0.553,4.996,0.0,0.0,0.0
21:25:2,33.998,0.5526,0.552,0.554,33.998,0.552,0.552,0.552,4.995,0.0,0.0,0.0
21:25:18,33.998,0.5528000000000001,0.552,0.553,33.998,0.5528,0.552,0.553,4.996,0.0,0.0,0.0
21:25:34,33.999,0.5522,0.551,0.553,33.998,0.5518000000000001,0.551,0.552,4.996,0.0,0.0,0.0
21:25:50,33.998,0.5522,0.552,0.553,33.999,0.5528000000000001,0.552,0.553,4.997,0.0,0.0,0.0
21:26:7,33.997,0.5526,0.552,0.553,33.997,0.5526,0.552,0.553,4.996,0.0,0.0,0.0
21:26:23,33.997,0.553,0.552,0.554,33.998,0.5524,0.552,0.553,4.997,0.0,0.0,0.0
21:26:39,33.997,0.5534000000000001,0.553,0.554,33.997,0.5528,0.552,0.553,4.997,0.0,0.0,0.0
21:26:55,33.998,0.5528000000000001,0.552,0.554,33.998,0.5534,0.553,0.554,4.995,0.0,0.0,0.0
21:27:11,33.998,0.5532,0.552,0.554,33.998,0.5528000000000001,0.552,0.553,4.996,0.0,0.0,0.0
21:27:28,33.999,0.5538000000000001,0.553,0.554,33.998,0.5538000000000001,0.553,0.555,4.996,0.0,0.0,0.0
21:27:44,33.997,0.5534000000000001,0.553,0.554,33.998,0.5534,0.552,0.554,4.997,0.0,0.0,0.0
21:28:0,33.998,0.5538000000000001,0.553,0.554,33.997,0.5532,0.552,0.554,4.998,0.0,0.0,0.0
21:28:16,33.998,0.5538000000000001,0.553,0.554,33.998,0.5534,0.553,0.554,4.996,0.0,0.0,0.0
21:28:33,33.999,0.5532,0.553,0.554,33.999,0.5534000000000001,0.553,0.554,4.996,0.0,0.0,0.0
21:28:49,33.997,0.5538000000000001,0.553,0.554,33.996,0.5538000000000001,0.553,0.555,4.996,0.0,0.0,0.0
21:29:5,33.997,0.5542,0.554,0.555,33.997,0.554,0.554,0.554,4.996,0.0,0.0,0.0
21:29:21,33.998,0.5546000000000001,0.554,0.555,33.997,0.5544000000000001,0.554,0.555,4.996,0.0,0.0,0.0
21:29:38,33.998,0.5552,0.555,0.556,33.998,0.5552000000000001,0.554,0.556,4.996,0.0,0.0,0.0
21:29:54,33.997,0.5564,0.556,0.557,33.998,0.5564,0.556,0.557,4.996,0.0,0.0,0.0
21:30:10,33.998,0.557,0.557,0.557,33.997,0.5566,0.556,0.557,4.995,0.0,0.0,0.0
21:30:26,33.998,0.557,0.556,0.558,33.998,0.5572,0.557,0.558,4.995,0.0,0.0,0.0
21:30:42,33.999,0.5576000000000001,0.557,0.558,33.998,0.5572,0.557,0.558,4.997,0.0,0.0,0.0
21:30:59,33.998,0.5572,0.557,0.558,33.999,0.558,0.557,0.559,4.995,0.0,0.0,0.0
21:33:47,33.998,0.5644,0.564,0.565,33.998,0.564,0.563,0.565,4.996,0.0,0.0,0.0
21:34:3,33.998,0.5644,0.564,0.565,33.999,0.5635999999999999,0.563,0.564,4.997,0.0,0.0,0.0
21:34:19,33.998,0.5638,0.563,0.565,34.0,0.5638,0.563,0.565,4.996,0.0,0.0,0.0
21:34:35,33.997,0.564,0.563,0.565,33.998,0.5638,0.563,0.564,4.997,0.0,0.0,0.0
21:34:52,33.997,0.5628,0.562,0.563,33.997,0.5635999999999999,0.563,0.564,4.996,0.0,0.0,0.0
21:35:8,33.997,0.5638,0.563,0.564,33.997,0.5638,0.563,0.564,4.996,0.0,0.0,0.0
