CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
15:45:38,0.0,0.2828,0.22,0.303
15:45:39,33.922,0.3024,0.302,0.303
15:45:40,33.988,0.302,0.302,0.302
15:45:41,33.988,0.302,0.302,0.302
15:45:42,33.988,0.302,0.302,0.302
15:45:44,33.988,0.302,0.302,0.302
15:45:45,33.989,0.302,0.302,0.302
15:45:46,33.989,0.302,0.302,0.302
15:45:47,33.989,0.302,0.302,0.302
15:45:48,33.989,0.302,0.302,0.302
15:45:49,33.988,0.302,0.302,0.302
15:45:50,33.989,0.302,0.302,0.302
15:45:51,33.988,0.302,0.302,0.302
15:45:52,33.988,0.302,0.302,0.302
15:45:53,33.988,0.302,0.302,0.302
15:45:54,33.987,0.302,0.302,0.302
15:45:55,33.987,0.3024,0.302,0.303
15:45:56,33.987,0.30279999999999996,0.302,0.303
15:45:57,33.987,0.30279999999999996,0.302,0.303
15:45:58,33.986,0.303,0.303,0.303
15:45:59,33.987,0.303,0.303,0.303
15:46:0,33.986,0.303,0.303,0.303
15:46:1,33.986,0.303,0.303,0.303
15:46:2,33.986,0.303,0.303,0.303
15:46:3,33.986,0.303,0.303,0.303
15:46:4,33.985,0.303,0.303,0.303
15:46:5,33.987,0.303,0.303,0.303
15:46:6,33.988,0.303,0.303,0.303
15:46:7,33.987,0.303,0.303,0.303
15:46:8,33.986,0.303,0.303,0.303
15:46:9,33.987,0.303,0.303,0.303
15:46:10,33.987,0.303,0.303,0.303
15:46:11,33.986,0.3034,0.303,0.304
15:46:12,33.985,0.304,0.304,0.304
15:46:13,33.985,0.304,0.304,0.304
15:46:14,33.985,0.304,0.304,0.304
15:46:15,33.985,0.3046,0.304,0.305
15:46:16,33.985,0.305,0.305,0.305
15:46:17,33.985,0.305,0.305,0.305
15:46:18,33.985,0.305,0.305,0.305
15:46:19,33.984,0.3056,0.305,0.306
15:46:20,33.984,0.306,0.306,0.306
15:46:21,33.985,0.306,0.306,0.306
15:46:22,33.984,0.306,0.306,0.306
15:46:23,33.984,0.306,0.306,0.306
15:46:24,33.984,0.306,0.306,0.306
15:46:25,33.984,0.3062,0.306,0.307
15:46:26,33.983,0.307,0.307,0.307
15:46:27,33.983,0.307,0.307,0.307
15:46:28,33.983,0.307,0.307,0.307
15:46:29,33.983,0.307,0.307,0.307
15:46:30,33.983,0.30720000000000003,0.307,0.308
15:46:31,33.984,0.3078,0.307,0.308
15:46:32,33.984,0.308,0.308,0.308
15:46:33,33.984,0.308,0.308,0.308
15:46:34,33.984,0.308,0.308,0.308
15:46:35,33.984,0.308,0.308,0.308
15:46:36,33.984,0.3082,0.308,0.309
15:46:37,33.984,0.3086,0.308,0.309
15:46:38,33.983,0.309,0.309,0.309
15:46:39,33.984,0.309,0.309,0.309
15:46:40,33.984,0.309,0.309,0.309
15:46:41,33.983,0.309,0.309,0.309
15:46:42,33.983,0.309,0.309,0.309
15:46:43,33.983,0.309,0.309,0.309
15:46:44,33.983,0.31,0.31,0.31
15:46:45,33.983,0.31,0.31,0.31
15:46:47,33.983,0.31,0.31,0.31
15:46:48,33.982,0.31039999999999995,0.31,0.311
15:46:49,33.983,0.311,0.311,0.311
15:46:50,33.983,0.3118,0.311,0.312
15:46:51,33.983,0.312,0.312,0.312
15:46:52,33.983,0.3126,0.312,0.313
15:46:53,33.983,0.313,0.313,0.313
15:46:54,33.982,0.314,0.314,0.314
15:46:55,33.982,0.3142,0.314,0.315
15:46:56,33.982,0.315,0.315,0.315
15:46:57,33.982,0.3158,0.315,0.316
15:46:58,33.983,0.3166,0.316,0.317
15:46:59,33.983,0.3178,0.317,0.318
15:47:0,33.984,0.3186,0.318,0.319
15:47:1,33.983,0.31980000000000003,0.319,0.32
15:47:2,33.983,0.3208,0.32,0.321
15:47:3,33.982,0.322,0.322,0.322
