CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
15:47:4,33.984,0.32320000000000004,0.323,0.324
15:47:5,33.982,0.324,0.324,0.324
15:47:6,33.982,0.3254,0.325,0.326
15:47:7,33.983,0.32639999999999997,0.326,0.327
15:47:8,33.982,0.3274,0.327,0.328
15:47:9,33.983,0.3286,0.328,0.329
15:47:10,33.983,0.32980000000000004,0.329,0.33
15:47:11,33.983,0.331,0.331,0.331
15:47:12,33.982,0.3324,0.332,0.333
15:47:13,33.981,0.3336,0.333,0.334
15:47:14,33.981,0.334,0.334,0.334
15:47:15,33.981,0.334,0.334,0.334
15:47:16,33.982,0.334,0.334,0.334
15:47:17,33.981,0.33380000000000004,0.333,0.334
15:47:18,33.981,0.33340000000000003,0.333,0.334
15:47:19,33.981,0.3332,0.333,0.334
15:47:20,33.981,0.333,0.333,0.333
15:47:21,33.981,0.333,0.333,0.333
15:47:22,33.981,0.333,0.333,0.333
15:47:23,33.98,0.333,0.333,0.333
15:47:24,33.98,0.333,0.333,0.333
15:47:25,33.981,0.33240000000000003,0.332,0.333
15:47:26,33.983,0.3324,0.332,0.333
15:47:27,33.983,0.33220000000000005,0.332,0.333
15:47:28,33.983,0.332,0.332,0.332
15:47:29,33.983,0.332,0.332,0.332
15:47:30,33.983,0.332,0.332,0.332
15:47:31,33.983,0.332,0.332,0.332
15:47:32,33.983,0.332,0.332,0.332
15:47:33,33.983,0.332,0.332,0.332
15:47:34,33.983,0.33140000000000003,0.331,0.332
15:47:35,33.982,0.331,0.331,0.331
15:47:36,33.983,0.331,0.331,0.331
15:47:37,33.982,0.331,0.331,0.331
15:47:38,33.983,0.331,0.331,0.331
15:47:39,33.982,0.331,0.331,0.331
15:47:40,33.982,0.331,0.331,0.331
15:47:41,33.982,0.331,0.331,0.331
15:47:42,33.982,0.331,0.331,0.331
15:47:43,33.982,0.33080000000000004,0.33,0.331
15:47:44,33.981,0.33020000000000005,0.33,0.331
15:47:45,33.981,0.33,0.33,0.33
15:47:46,33.981,0.33020000000000005,0.33,0.331
15:47:47,33.981,0.33,0.33,0.33
15:47:48,33.981,0.33,0.33,0.33
15:47:49,
